address,address_detail,area,money,title
长风商务区,南屯北小区,2室                    91.48㎡,2000元/月,整租 | 长风西街万象城旁南屯小区两室两厅落地窗采光好家里干净
桥东街,人民银行宿舍,主卧(3室)                    45㎡,799元/月,合租 | 无中介 可月付 可短租 桥东街 五一广场 太原火车站
迎泽西大街,中景花园,主卧(3室)                    30㎡,560元/月,合租 | 无中介 可月付 下元 国际能源中心 中海 理工大 信
和平南路,西部丽景,2室                    83.67㎡,1600元/月,整租 | 新上实拍！和平南路漫香堤西部丽景朝南两居拎包 停车便
兴华街,丰庆苑,2室                    101㎡,1100元/月,整租 | 北中环 和平北路 丰庆苑 精装修 手次出租 看房方便
体育路,世纪花苑北区,2室                    100㎡,2400元/月,整租 | 两部空调 看房方便 体育路 坞城世纪花苑北区精装两居
王村南街,华康小区,3室                    160.00㎡,2750元/月,整租 | 新房首租 平阳路亲贤街精装大三居 平阳景苑 新康隆
水西关,山西省人大机关宿舍院,2室                    60.00㎡,2100元/月,整租 | 迎泽大街新建路水西关南街新西小学三十中附近中装2居拎
大营盘,华润昆仑御,1室                    50㎡,2500元/月,整租 | 新上 南内环 并州路 阳光 恒地 财富 大营盘 昆仑
滨河东路,星河湾1号园,4室                    330㎡,20000元/月,整租 | 办公 会所！星河湾 330平 豪华装修 私密 好停车
迎泽大街,团校宿舍(青年路19号),3室                    75㎡,1666元/月,整租 | 可租半年团校宿舍青年路五中湖滨丽景并州路柳巷省中医院
王村南街,中国移动宿舍,3室                    105㎡,2500元/月,整租 | 首租 南内环平阳路 36中 西一巷 老军营 精装三居
迎泽西大街,文兴苑(万柏林),1室                    55㎡,1333元/月,整租 | 无隔断标准一室一厅，理工大，中海，信达国际，下元，国
千峰南路,欢乐颂,2室                    100㎡,2500元/月,整租 | 实拍！精装修复式两居两卫 南内环 万水澜庭 来福花园
晋阳街,云水世纪明珠,2室                    133.94㎡,2788元/月,整租 | 北美N1 恒大华府 空家办公 裕丰花园 龙海方舟 晋
千峰南路,长风观园一期,1室                    45㎡,899元/月,整租 | 好房出租可月付千峰南路美好生活广场附近网红风一居室拎
许坦西街,坞城世纪花苑南区,2室                    74.0㎡,2000元/月,整租 | 首I出租 业主自住 坞城世纪南区2居 低楼层 业主诚
晋阳街,恒大天宸,3室                    210.09㎡,5500元/月,整租 | 恒大天宸大宽长厅1层毛坯出租户型方正宽大
长风商务区,融创太原府,3室                    125.58㎡,2999元/月,整租 | 实拍实价！办公优先 长风西街 融创太原府 精装三居
西客站,南寒圣都,2室                    90㎡,1250元/月,整租 | 西客站迎泽西大街南寒圣都两室一厅，家具家电齐全拎包入
滨河东路,银海水韵,3室                    133.0㎡,3000元/月,整租 | 银海水韵小区，靠近滨河东路，交通便利
真武路,恒大绿洲西区,2室                    90㎡,1800元/月,整租 | 康宁家园万马仕美都汇百亩会富士康新力惠中学中铁十七局
小井峪,华峪东区,2室                    98.35㎡,1500元/月,整租 | 下元华峪 精装两居 中间楼层 视野宽阔 干净整洁 生
动物园,富力城玖院,2室                    88㎡,1500元/月,整租 | 东中环 北中环 十二中国樾校区 师院附 拎包入住 可
昌盛街,阳光揽胜,1室                    40㎡,900元/月,整租 | 实拍可月付短租 正阳街地铁口育才小学疾病预防控制中心
滨河西路,万水澜庭(1号园),2室                    98㎡,2000元/月,整租 | 可月付 南内环绿地中心 中医学院 万水澜庭精装拎包两
许坦东街,怡然家园,2室                    88.12㎡,1800元/月,整租 | 许东 龙堡街九一常青藤 新时代双语 太原南站 富力金
和平南路,纺织苑,2室                    70.00㎡,1700元/月,整租 | 纺织苑精装两居室 拎包入住 随时看房 尔湾医院
双塔西街,职工医学院宿舍,3室                    90㎡,1666元/月,整租 | 月付双塔东西省人民医院肛肠医院医药公司职工医学院精装
义井,兰亭荟(商住楼),1室                    40㎡,999元/月,整租 | 可月付可短租华润万象城亚特兰蒂斯 南屯为民服务中心
千峰南路,众纺路4号院,3室                    60.0㎡,1000元/月,整租 | 可月付 众纺路四号院 精装南北三居拎包 免费宽带 千
三给路,富力天禧城B区,3室                    126.78㎡,1800元/月,整租 | 文兴路 富力天禧城 第三实验小学 精装修 三居室 看
长风商务区,晋阳峰璟,3室                    123.42㎡,2200元/月,整租 | 长兴南街新晋祠路华润大厦万象城政务大厅附近晋阳峰景三
长风商务区,晋阳峰璟,3室                    144.35㎡,3000元/月,整租 | 万象城 大三居 晋阳峰璟 随时看房 拎包入住
汾东北路,浦东经典家园,1室                    33.00㎡,900元/月,整租 | 可月付 陪读小店一中 家具家电齐全带空调 挨汾河 停
亲贤,昌盛双喜城,3室                    188.06㎡,5500元/月,整租 | 可办公可当会所可开店亲贤街并州路昌盛双喜城精装三居停
太榆路,龙园小区,1室                    40㎡,650元/月,整租 | 东中环长风东街万科常青藤紫台金禧大厦亲海国际龙鼎花园
长风西大街,万国城MOMA,3室                    193.48㎡,6666元/月,整租 | 长风西街 万国城物业租售 190平简装3居 适合办公
滨河东路,长风小区,主卧(3室)                    50㎡,599元/月,合租 | 无中介 可月付 亲贤街 平阳景苑 和信商座 顶好时尚
义井,逍邦ArtLife,1室                    48.87㎡,1450元/月,整租 | 可月付 有燃气 带空调市妇幼 长风西街 国投 逍邦
长风西大街,丽华苑,4室                    180㎡,4999元/月,整租 | 丽华苑精装大平层湖景房可办公华润大厦万国城长风商务区
晋阳湖,山投沿湖城,2室                    98.07㎡,1500元/月,整租 | 可月付 南中环 清控两室一厅 网红装修家电齐全
晋祠路,磷肥厂宿舍,2室                    63.00㎡,1100元/月,整租 | 实拍！长风街和平南路义井小吃街实验小学 磷肥宿舍南北
平阳,鹏程佳园,2室                    88.70㎡,2500元/月,整租 | 业主自住首租 平阳路南内环 鹏程佳园 精装两居拎包
西宫,博林文苑,3室                    111.72㎡,1500元/月,整租 | 和平北路 兴华街 六十一中对面 博林文苑 三室一厅
真武路,晋阳紫城,2室                    100㎡,1450元/月,整租 | 地铁房 恒大绿洲 手次出租 采光好 户型方正 暖气好
亲贤,卫生局宿舍,1室                    53.18㎡,1450元/月,整租 | 茂业 王府井 体育路 亲贤街附近精装一室一厅拎包入住
真武路,康宁雅苑,2室                    92.00㎡,1350元/月,整租 | 康宁街 地铁口 康宁雅苑南北两居 康宁大厦 可月付
晋阳街,恒大悦府,3室                    209.79㎡,10000元/月,整租 | 付款灵活实图实价7.3大梗厅可按需求配置可办公可家住
体育路,龙海方舟,1室                    55㎡,1000元/月,整租 | 免押金短租月付奥斯卡白求恩茂业王府井北美火炬大厦国金
迎泽西大街,海唐广场,1室                    27㎡,800元/月,整租 | 整租独门独户居然之家创客大厦公园时代城金昌盛西客站附
北宫,恒大名都,3室                    136.45㎡,2500元/月,整租 | 恒大名都 3室2厅1卫 南北通透 精装修 电梯房
西客站,华润置地公元九里,2室                    88㎡,1666元/月,整租 | 出租公园九里 万达西岸 华侨城 中铁诺德 龙湖天矩精
滨河东路,馨和佳苑小区,2室                    90㎡,1000元/月,整租 | 实图可月付工商学院地铁口长治路龙城大街白求恩文旅大厦
晋阳湖,怡佳天一城,3室                    127.75㎡,3999元/月,整租 | 精装朝三居室 恒氧恒温恒室 拎包入住 万科中央公园
晋阳街,云水世纪明珠,1室                    50㎡,1100元/月,整租 | 可月付 晋阳街北美N1云水世纪龙海方舟裕丰花园北张君
